happy money sex love work
36 2 0 0 2 2
37 5 31 0 2 4
23 4 35 1 2 2
9 5 35 1 2 2
4 8 35 1 3 3
1 10 36 0 3 4
11 7 40 0 2 3
20 5 40 1 2 4
21 7 40 1 3 3
29 8 41 0 3 5
16 4 44 1 2 3
26 7 44 1 2 4
22 9 44 1 3 4
8 6 45 0 2 3
28 7 45 0 2 4
13 8 45 1 3 3
12 8 45 1 3 4
14 8 45 1 3 4
2 8 47 1 3 1
30 8 50 0 3 5
27 7 50 1 3 3
3 8 53 0 3 5
10 4 55 1 1 4
24 5 56 1 2 3
38 7 60 1 3 4
15 8 62 0 3 4
39 8 65 1 3 3
35 5 70 0 2 3
34 8 75 1 3 4
18 8 81 0 2 4
31 3 85 1 1 1
33 7 85 1 2 4
17 8 85 1 3 4
5 4 88 1 1 2
32 7 90 1 2 2
19 6 112 1 3 2
25 9 115 1 3 4
7 8 175 1 3 4
6 9 175 1 3 4
